"","X","CH4_Area","Sample_Volume","Notes","CH4_Conc_ppm","CH4_Flag","CH4_Conc_ppm_dilcorr","CH4_Conc_umol","Project","Plot_Name","Depth","CO2_Treatment","N_Treatment","Sample_Name","Month","Year","Treatment"
"1",1,926026,12,"",1380.24026294389,"Within Range",1381.24026294389,56.8939573987357,"CO2xN","L1",20,"Elev","N","L1-20","May",2025,"eCO2_N"
"2",2,1250268,12,"",1948.69447175761,"Within Range",1949.69447175761,80.3088623990062,"CO2xN","L1",40,"Elev","N","L1-40","May",2025,"eCO2_N"
"3",3,701664,12,"",986.893555244508,"Within Range",987.893555244508,40.6918154317151,"CO2xN","L1",80,"Elev","N","L1-80","May",2025,"eCO2_N"
"4",4,717389,12,"",1014.46229227918,"Within Range",1015.46229227918,41.8273851022984,"CO2xN","L2",20,"Amb","Amb","L2-20","May",2025,"Ambient"
"5",5,597692,12,"",956.391854683035,"Within Range",957.391854683035,39.4354355687109,"CO2xN","L2",40,"Amb","Amb","L2-40","May",2025,"Ambient"
"6",6,416034,12,"",664.136753295098,"Within Range",665.136753295098,27.3973059731476,"CO2xN","L2",80,"Amb","Amb","L2-80","May",2025,"Ambient"
"7",7,1896443,12,"",3081.55479947644,"Within Range",3082.55479947644,126.971929609762,"CO2xN","L3",20,"Elev","Amb","L3-20","May",2025,"eCO2"
"8",8,1501655,12,"",2389.42083722247,"Within Range",2390.42083722247,98.4625954851054,"CO2xN","L3",40,"Elev","Amb","L3-40","May",2025,"eCO2"
"9",9,1061558,12,"",1617.85209555331,"Within Range",1618.85209555331,66.6813042091324,"CO2xN","L3",80,"Elev","Amb","L3-80","May",2025,"eCO2"
"10",10,882247,12,"",1303.48784713207,"Within Range",1304.48784713207,53.7324881072595,"CO2xN","L4",20,"Amb","N","L4-20","May",2025,"N"
"11",11,476312,12,"",761.113231080068,"Within Range",762.113231080068,31.3918142015843,"CO2xN","L4",40,"Amb","N","L4-40","May",2025,"N"
"12",12,820800,12,"",1195.76026782718,"Within Range",1196.76026782718,49.2951367846312,"CO2xN","L4",80,"Amb","N","L4-80","May",2025,"N"
"13",13,814202,12,"",1184.19279393499,"Within Range",1185.19279393499,48.8186669158549,"CO2xN","L5",20,"Elev","N","L5-20","May",2025,"eCO2_N"
"14",14,1069598,12,"",1631.94765331221,"Within Range",1632.94765331221,67.2619070804513,"CO2xN","L5",40,"Elev","N","L5-40","May",2025,"eCO2_N"
"15",15,1101261,12,"",1687.45855447143,"Within Range",1688.45855447143,69.5484280648505,"CO2xN","L5",80,"Elev","N","L5-80","May",2025,"eCO2_N"
"16",16,609248,12,"",824.871780885453,"Within Range",825.871780885453,34.0180598401971,"CO2xN","L6",20,"Amb","Amb","L6-20","May",2025,"Ambient"
"17",17,489565,12,"",782.434928218065,"Within Range",783.434928218065,32.2700652641855,"CO2xN","L6",40,"Amb","Amb","L6-40","May",2025,"Ambient"
"18",18,716977,12,"",1013.73998260298,"Within Range",1014.73998260298,41.7976328158577,"CO2xN","L6",80,"Amb","Amb","L6-80","May",2025,"Ambient"
"19",19,182265,12,"",288.044410561187,"Within Range",289.044410561187,11.9058796807452,"CO2xN","L7",20,"Amb","Amb","L7-20","May",2025,"Ambient"
"20",20,166286,12,"Sample seemed underpressurized",262.337068935286,"Within Range",263.337068935286,10.8469817912633,"CO2xN","L7",40,"Amb","Amb","L7-40","May",2025,"Ambient"
"21",1,160682,12,NA,268.880689821756,"Within Range",269.880689821756,11.1165167142859,"CO2xN","L7",80,"Amb","Amb","L7-80","May",2025,"Ambient"
"22",2,434378,12,NA,716.318562233166,"Within Range",717.318562233166,29.5467000317771,"CO2xN","L8",20,"Elev","Amb","L8-20","May",2025,"eCO2"
"23",3,527029,12,NA,867.784299097386,"Within Range",868.784299097386,35.7856473110536,"CO2xN","L8",40,"Elev","Amb","L8-40","May",2025,"eCO2"
"24",4,260466,12,NA,432.007446006355,"Within Range",433.007446006355,17.8357870439675,"CO2xN","L8",80,"Elev","Amb","L8-80","May",2025,"eCO2"
"25",5,309754,12,NA,512.583405667489,"Within Range",513.583405667489,21.1547499639682,"CO2xN","L9",20,"Elev","Amb","L9-20","May",2025,"eCO2"
"26",6,313129,12,NA,518.100851371439,"Within Range",519.100851371439,21.3820162327355,"CO2xN","L9",40,"Elev","Amb","L9-40","May",2025,"eCO2"
"27",7,471665,12,NA,777.275302370414,"Within Range",778.275302370414,32.0575377691181,"CO2xN","L9",80,"Elev","Amb","L9-80","May",2025,"eCO2"
"28",8,680970,12,NA,878.808621100598,"Within Range",879.808621100598,36.2397444896747,"CO2xN","L10",20,"Amb","N","L10-20","May",2025,"N"
"29",9,328049,12,NA,542.49204837972,"Within Range",543.49204837972,22.3867014860712,"CO2xN","L10",40,"Amb","N","L10-40","May",2025,"N"
