"","CH4_Area","Sample_Volume","Notes","CH4_Conc_ppm","CH4_Flag","CH4_Conc_ppm_dilcorr","CH4_Conc_umol","Experiment","Plot_Name","Depth","CO2_Treatment","N_Treatment","Sample_Name","Month","Year"
"1",926026,12,"",1535.14589368777,"Within Range",1536.14589368777,63.3602609637083,"CO2xN","L1",20,"Elev","N","L1-20","May","2025"
"2",1250268,12,"",2096.73534114102,"Within Range",2097.73534114102,86.5237209523176,"CO2xN","L1",40,"Elev","N","L1-40","May","2025"
"3",701664,12,"",1146.54931579377,"Within Range",1147.54931579377,47.3321085036188,"CO2xN","L1",80,"Elev","N","L1-80","May","2025"
"4",717389,12,"",1173.78512750601,"Within Range",1174.78512750601,48.4554836626694,"CO2xN","L2",20,"Amb","Amb","L2-20","May","2025"
"5",597692,12,"",966.469073164465,"Within Range",967.469073164465,39.9044733979395,"CO2xN","L2",40,"Amb","Amb","L2-40","May","2025"
"6",416034,12,"",651.836126644695,"Within Range",652.836126644695,26.9270435319419,"CO2xN","L2",80,"Amb","Amb","L2-80","May","2025"
"7",1896443,12,"",3215.91503164413,"Within Range",3216.91503164413,132.68568873607,"CO2xN","L3",20,"Elev","Amb","L3-20","May","2025"
"8",1501655,12,"",2532.1394110238,"Within Range",2533.1394110238,104.482507032333,"CO2xN","L3",40,"Elev","Amb","L3-40","May","2025"
"9",1061558,12,"",1769.88828052302,"Within Range",1770.88828052302,73.0425046556921,"CO2xN","L3",80,"Elev","Amb","L3-80","May","2025"
"10",882247,12,"",1459.32035467661,"Within Range",1460.32035467661,60.2327416576304,"CO2xN","L4",20,"Amb","N","L4-20","May","2025"
"11",476312,12,"",756.238050866687,"Within Range",757.238050866687,31.2332316297004,"CO2xN","L4",40,"Amb","N","L4-40","May","2025"
"12",820800,12,"",1352.8937141499,"Within Range",1353.8937141499,55.8430416005124,"CO2xN","L4",80,"Amb","N","L4-80","May","2025"
"13",814202,12,"",1341.46593127694,"Within Range",1342.46593127694,55.3716883859231,"CO2xN","L5",20,"Elev","N","L5-20","May","2025"
"14",1069598,12,"",1783.81361764012,"Within Range",1784.81361764012,73.6168726225453,"CO2xN","L5",40,"Elev","N","L5-40","May","2025"
"15",1101261,12,"",1838.65415857779,"Within Range",1839.65415857779,75.87883940544,"CO2xN","L5",80,"Elev","N","L5-80","May","2025"
"16",609248,12,"",986.484147259647,"Within Range",987.484147259647,40.7300201920882,"CO2xN","L6",20,"Amb","Amb","L6-20","May","2025"
"17",489565,12,"",779.192341017556,"Within Range",780.192341017556,32.1800100705841,"CO2xN","L6",40,"Amb","Amb","L6-40","May","2025"
"18",716977,12,"",1173.07154057912,"Within Range",1174.07154057912,48.4260508763083,"CO2xN","L6",80,"Amb","Amb","L6-80","May","2025"
"19",182265,12,"",246.946557922259,"Within Range",247.946557922259,10.2268662628738,"CO2xN","L7",20,"Amb","Amb","L7-20","May","2025"
"20",166286,12,"Sample seemed underpressurized",219.270816405566,"Within Range",220.270816405566,9.08534564815396,"CO2xN","L7",40,"Amb","Amb","L7-40","May","2025"
