"","CH4_Area","Sample_Volume","CH4_Conc_ppm","CH4_Flag","CH4_Conc_ppm_dilcorr","CH4_Conc_umol","Sample_ID.y","Plot_Name","Depth","CO2_Treatment","N_Treatment","Sample_Name","Month","Year","Treatment"
"1",515401,12,906.371421615292,"Within Range",907.371421615292,37.4130074459875,"\bL13-20\b","L13",20,"Elev","Amb","L13-20","May","2025","eCO2"
"2",470990,12,830.335708786533,"Within Range",831.335708786533,34.2778803938712,"\bL13-40\b","L13",40,"Elev","Amb","L13-40","May","2025","eCO2"
"3",284364,12,510.814848135341,"Within Range",511.814848135341,21.1033015456521,"\bL13-80\b","L13",80,"Elev","Amb","L13-80","May","2025","eCO2"
"4",483042,12,850.96984021821,"Within Range",851.96984021821,35.1286730180433,"\bL14-20\b","L14",20,"Amb","N","L14-20","May","2025","N"
"5",634919,12,1110.99721986049,"Within Range",1111.99721986049,45.8501990204812,"\bL14-40\b","L14",40,"Amb","N","L14-40","May","2025","N"
"6",556111,12,976.070682367331,"Within Range",977.070682367331,40.2868680276375,"\bL14-80\b","L14",80,"Amb","N","L14-80","May","2025","N"
"7",1407222,12,2433.25092107842,"Within Range",2434.25092107842,100.369755610754,"\bL15-20\b","L15",20,"Elev","N","L15-20","May","2025","eCO2_N"
"8",1376310,12,2380.32673664298,"Within Range",2381.32673664298,98.1875699487552,"\bL15-40\b","L15",40,"Elev","N","L15-40","May","2025","eCO2_N"
"9",875762,12,1523.34256639214,"Within Range",1524.34256639214,62.8521445883102,"\bL15-80\b","L15",80,"Elev","N","L15-80","May","2025","eCO2_N"
"10",584323,12,1024.37221870574,"Within Range",1025.37221870574,42.2784512929165,"\bL16-20\b","L16",20,"Amb","Amb","L16-20","May","2025","Control"
"11",375728,12,667.238411371629,"Within Range",668.238411371629,27.5530042767222,"\bL16-40\b","L16",40,"Amb","Amb","L16-40","May","2025","Control"
"12",665911,12,1164.05837164696,"Within Range",1165.05837164696,48.0380321609012,"\bL16-80\b","L16",80,"Amb","Amb","L16-80","May","2025","Control"
"13",248374,12,449.196661093683,"Within Range",450.196661093683,18.5626421908601,"\bL17-20\b","L17",20,"Amb","Amb","L17-20","May","2025","Control"
"14",294822,12,528.719905097877,"Within Range",529.719905097877,21.8415681622793,"\bL17-40\b","L17",40,"Amb","Amb","L17-40","May","2025","Control"
"15",537580,12,944.343907594646,"Within Range",945.343907594646,38.9787002448186,"\bL17-80\b","L17",80,"Amb","Amb","L17-80","May","2025","Control"
"16",307320,12,550.117629511509,"Within Range",551.117629511509,22.7238454786502,"\bL18-20\b","L18",20,"Elev","N","L18-20","May","2025","eCO2_N"
"17",592076,12,1037.64606711179,"Within Range",1038.64606711179,42.8257625454228,"\bL18-40\b","L18",40,"Elev","N","L18-40","May","2025","eCO2_N"
"18",394809,12,699.906836682601,"Within Range",700.906836682601,28.8999984736876,"\bL18-80\b","L18",80,"Elev","N","L18-80","May","2025","eCO2_N"
"19",902983,12,1569.94741966974,"Within Range",1570.94741966974,64.7737697146451,"\bL19-20\b","L19",20,"Elev","Amb","L19-20","May","2025","eCO2"
"20",652747,12,1141.52039403606,"Within Range",1142.52039403606,47.1087395866727,"\bL19-40\b","L19",40,"Elev","Amb","L19-40","May","2025","eCO2"
