"","Curve","R2","Slope","Intercept","Run_Date"
"1","High",0.99862953500054,576.898963478261,173986.217391306,"06/16/2025"
"2","Low",0.999025956452983,611.696096543974,-3791.26840001892,"06/16/2025"
"3","High",0.999910087588533,570.392469565217,138747.347826088,"06/12/2025"
"4","Low",0.997909846178751,621.573410138249,3224.25345622115,"06/12/2025"
"5","High",0.998988163444748,590.737412173913,-109278.739130433,"06/18/2025"
"6","Low",0.999099520985376,590.313761983912,954.768225101026,"06/18/2025"
"7","High",0.999966339822849,599.680702608696,26208.9130434785,"06/23/2025"
"8","Low",0.999863923078043,615.498271889401,-1451.45276497691,"06/23/2025"
"9","High",0.999966339822849,599.680702608696,26208.9130434785,"06/23/2025"
"10","Low",0.999863923078043,615.498271889401,-1451.45276497691,"06/23/2025"
"11","High",0.999910087588533,570.392469565217,138747.347826088,"06/12/2025"
"12","Low",0.997909846178751,621.573410138249,3224.25345622115,"06/12/2025"
"13","High",0.999910087588533,570.392469565217,138747.347826088,"06/12/2025"
"14","Low",0.997909846178751,621.573410138249,3224.25345622115,"06/12/2025"
"15","High",0.999910087588533,570.392469565217,138747.347826088,"06/12/2025"
"16","Low",0.997909846178751,621.573410138249,3224.25345622115,"06/12/2025"
"17","High",0.999910087588533,570.392469565217,138747.347826088,"06/12/2025"
"18","Low",0.997909846178751,621.573410138249,3224.25345622115,"06/12/2025"
"19","High",0.99862953500054,576.898963478261,173986.217391306,"06/16/2025"
"20","Low",0.999025956452983,611.696096543974,-3791.26840001892,"06/16/2025"
"21","High",0.998988163444748,590.737412173913,-109278.739130433,"06/18/2025"
"22","Low",0.999099520985376,590.313761983912,954.768225101026,"06/18/2025"
"23","High",0.999966339822849,599.680702608696,26208.9130434785,"06/23/2025"
"24","Low",0.999863923078043,615.498271889401,-1451.45276497691,"06/23/2025"
"25","High",0.999910087588533,570.392469565217,138747.347826088,"06/12/2025"
"26","Low",0.997909846178751,621.573410138249,3224.25345622115,"06/12/2025"
"27","High",0.99862953500054,576.898963478261,173986.217391306,"06/16/2025"
"28","Low",0.999025956452983,611.696096543974,-3791.26840001892,"06/16/2025"
"29","High",0.998988163444748,590.737412173913,-109278.739130433,"06/18/2025"
"30","Low",0.999099520985376,590.313761983912,954.768225101026,"06/18/2025"
"31","High",0.999910087588533,570.392469565217,138747.347826088,"06/12/2025"
"32","Low",0.997909846178751,621.573410138249,3224.25345622115,"06/12/2025"
"33","High",0.99862953500054,576.898963478261,173986.217391306,"06/16/2025"
"34","Low",0.999025956452983,611.696096543974,-3791.26840001892,"06/16/2025"
"35","High",0.998988163444748,590.737412173913,-109278.739130433,"06/18/2025"
"36","Low",0.999099520985376,590.313761983912,954.768225101026,"06/18/2025"
"37","High",0.998988163444748,590.737412173913,-109278.739130433,"06/18/2025"
"38","Low",0.999099520985376,590.313761983912,954.768225101026,"06/18/2025"
"39","High",0.999966339822849,599.680702608696,26208.9130434785,"06/23/2025"
"40","Low",0.999863923078043,615.498271889401,-1451.45276497691,"06/23/2025"
