Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Sample_Volume,Notes
LabAir,Lab air,unknown,unknown,unknown,,1578,,NA,
Blank1,Blank,unknown,unknown,unknown,,234,,NA,
Blank2,Blank,unknown,unknown,unknown,,197,,NA,
0ppm,Standard,0,0,0,,340,,NA,
5ppmCH4,Standard,1000,5,0.833333333,,2568,,NA,
10ppmCH4,Standard,2000,10,1.666666667,,4691,,NA,
250ppmCH4,Standard,12500,250,2.5,,143365,,NA,
500ppmCH4,Standard,25000,500,3.333333333,,291194,,NA,
1000ppmCH4,Standard,50000,1000,4.166666667,,614738,,NA,
2500ppmCH4,Standard,NA,2500,NA,,1528435,,NA,
5000ppmCH4,Standard,NA,5000,NA,,3028370,,NA,
10000ppmCH4,Standard,NA,10000,NA,,6141790,,NA,
20000ppmCH4,Standard,NA,20000,NA,,11631061,,NA,
Blank3,Blank,unknown,unknown,unknown,,7359,,NA,
Blank4,Blank,unknown,unknown,unknown,,230,,NA,
Blank5,Blank,unknown,unknown,unknown,,286,,NA,
CheckStdHighTri1,ChkStd,unknown,unknown,unknown,,629470,,NA,
Blank6,Blank,unknown,unknown,unknown,,1000,,NA,
L7-80,Sample,unknown,unknown,unknown,,160682,,12,
L8-20,Sample,unknown,unknown,unknown,,434378,,12,
L8-40,Sample,unknown,unknown,unknown,,527029,,12,
L8-80,Sample,unknown,unknown,unknown,,260466,,12,
L9-20,Sample,unknown,unknown,unknown,,309754,,12,
L9-40,Sample,unknown,unknown,unknown,,313129,,12,
L9-80,Sample,unknown,unknown,unknown,,471665,,12,
L10-20,Sample,unknown,unknown,unknown,,680970,,12,
L10-40,Sample,unknown,unknown,unknown,,328049,,12,
L10-80,Sample,unknown,unknown,unknown,,637943,,12,
CheckStdHighTri2,ChkStd,unknown,unknown,unknown,,621752,,NA,
Blank7,Blank,unknown,unknown,unknown,,1060,,NA,
L11-20,Sample,unknown,unknown,unknown,,100426,,12,
L11-40,Sample,unknown,unknown,unknown,,237443,,12,
L11-80,Sample,unknown,unknown,unknown,,209943,,12,
L12-20,Sample,unknown,unknown,unknown,,508181,,12,
L12-40,Sample,unknown,unknown,unknown,,653696,,12,
L12-80,Sample,unknown,unknown,unknown,,484446,,12,
CheckStdHighTri3,ChkStd,unknown,unknown,unknown,,619142,,NA,
Blank8,Blank,unknown,unknown,unknown,,1692,,NA,
