Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Sample_Volume
LabAir,Lab air,unknown,unknown,unknown,,1344,,NA
Blank1,Blank,unknown,unknown,unknown,,118,,NA
Blank2,Blank,unknown,unknown,unknown,,226,,NA
0ppm,Standard,NA,0,NA,,171,,NA
5ppmCH4,Standard,NA,5,NA,,3049,,NA
10ppmCH4,Standard,NA,10,NA,,5966,,NA
50ppmCH4,Standard,NA,50,NA,,29065,,NA
100ppmCH4,Standard,NA,100,NA,,60395,,NA
250ppmCH4,Standard,NA,250,NA,,159777,,NA
500ppmCH4,Standard,NA,500,NA,,286220,,NA
1000ppmCH4,Standard,NA,1000,NA,,593446,,NA
2500ppmCH4,Standard,NA,2500,NA,,1449519,,NA
5000ppmCH4,Standard,NA,5000,NA,,2864454,,NA
10000ppmCH4,Standard,NA,10000,NA,,5624607,,NA
20000ppmCH4,Standard,NA,20000,NA,,11776958,,NA
Blank3,Blank,unknown,unknown,unknown,,1421,,NA
Blank4,Blank,unknown,unknown,unknown,,238,,NA
Blank5,Blank,unknown,unknown,unknown,,226,,NA
CheckStdHighTri1,ChkStd,unknown,unknown,unknown,,635136,,NA
Blank6,Blank,unknown,unknown,unknown,,638,,NA
Blank7,Blank,unknown,unknown,unknown,,306,,NA
L13-20,Sample,unknown,unknown,unknown,,515401,,12
L13-40,Sample,unknown,unknown,unknown,,470990,,12
L13-80,Sample,unknown,unknown,unknown,,284364,,12
L14-20,Sample,unknown,unknown,unknown,,483042,,12
L14-40,Sample,unknown,unknown,unknown,,634919,,12
L14-80,Sample,unknown,unknown,unknown,,556111,,12
L15-20,Sample,unknown,unknown,unknown,,1407222,,12
L15-40,Sample,unknown,unknown,unknown,,1376310,,12
L15-80,Sample,unknown,unknown,unknown,,875762,,12
L16-20,Sample,unknown,unknown,unknown,,584323,,12
CheckStdHighTri2,ChkStd,unknown,unknown,unknown,,545117,,NA
Blank7,Blank,unknown,unknown,unknown,,348,,NA
Blank8,Blank,unknown,unknown,unknown,,149,,NA
L16-40,Sample,unknown,unknown,unknown,,375728,,12
L16-80,Sample,unknown,unknown,unknown,,665911,,12
L17-20,Sample,unknown,unknown,unknown,,248374,,12
L17-40,Sample,unknown,unknown,unknown,,294822,,12
L17-80,Sample,unknown,unknown,unknown,,537580,,12
L18-20,Sample,unknown,unknown,unknown,,307320,,12
L18-40,Sample,unknown,unknown,unknown,,592076,,12
L18-80,Sample,unknown,unknown,unknown,,394809,,12
L19-20,Sample,unknown,unknown,unknown,,902983,,12
L19-40,Sample,unknown,unknown,unknown,,652747,,12
CheckStdHighTri3,ChkStd,unknown,unknown,unknown,,621059,,NA
Blank9,Blank,unknown,unknown,unknown,,494,,NA
Blank10,Blank,unknown,unknown,unknown,,179,,NA
