Sample ID,Experiment,Chamber/Plot Name,Depth,CO2 Treatment,N Treatment,Temp Treatment
P1A-20,Phragmites,P1,20,Amb,Amb,NA
P1A-40,Phragmites,P1,40,Amb,Amb,NA
P1B-20,Phragmites,P1,20,Amb,Amb,NA
P1B-40,Phragmites,P1,40,Amb,Amb,NA
P2A-20,Phragmites,P2,20,Elev,Amb,NA
P2A-40,Phragmites,P2,40,Elev,Amb,NA
P2B-20,Phragmites,P2,20,Elev,Amb,NA
P2B-40,Phragmites,P2,40,Elev,Amb,NA
P3A-20,Phragmites,P3,20,Amb,N,NA
P3A-40,Phragmites,P3,40,Amb,N,NA
P3B-20,Phragmites,P3,20,Amb,N,NA
P3B-40,Phragmites,P3,40,Amb,N,NA
P4A-20,Phragmites,P4,20,Elev,N,NA
P4A-40,Phragmites,P4,40,Elev,N,NA
P4B-20,Phragmites,P4,20,Elev,N,NA
P4B-40,Phragmites,P4,40,Elev,N,NA
P5A-20,Phragmites,P5,20,Elev,Amb,NA
P5A-40,Phragmites,P5,40,Elev,Amb,NA
P5B-20,Phragmites,P5,20,Elev,Amb,NA
P5B-40,Phragmites,P5,40,Elev,Amb,NA
P6A-20,Phragmites,P6,20,Amb,N,NA
P6A-40,Phragmites,P6,40,Amb,N,NA
P6B-20,Phragmites,P6,20,Amb,N,NA
P6B-40,Phragmites,P6,40,Amb,N,NA
P7A-20,Phragmites,P7,20,Elev,N,NA
P7A-40,Phragmites,P7,40,Elev,N,NA
P7B-20,Phragmites,P7,20,Elev,N,NA
P7B-40,Phragmites,P7,40,Elev,N,NA
P8A-20,Phragmites,P8,20,Amb,Amb,NA
P8A-40,Phragmites,P8,40,Amb,Amb,NA
P8B-20,Phragmites,P8,20,Amb,Amb,NA
P8B-40,Phragmites,P8,40,Amb,Amb,NA
P9A-20,Phragmites,P9,20,Elev,N,NA
P9A-40,Phragmites,P9,40,Elev,N,NA
P9B-20,Phragmites,P9,20,Elev,N,NA
P9B-40,Phragmites,P9,40,Elev,N,NA
P10A-20,Phragmites,P10,20,Elev,Amb,NA
P10A-40,Phragmites,P10,40,Elev,Amb,NA
P10B-20,Phragmites,P10,20,Elev,Amb,NA
P10B-40,Phragmites,P10,40,Elev,Amb,NA
P11A-20,Phragmites,P11,20,Amb,Amb,NA
P11A-40,Phragmites,P11,40,Amb,Amb,NA
P11B-20,Phragmites,P11,20,Amb,Amb,NA
P11B-40,Phragmites,P11,40,Amb,Amb,NA
P12A-20,Phragmites,P12,20,Amb,N,NA
P12A-40,Phragmites,P12,40,Amb,N,NA
P12B-20,Phragmites,P12,20,Amb,N,NA
P12B-40,Phragmites,P12,40,Amb,N,NA
